Subject ID,Subject,Subject type,Interaction type,Object ID,Object,Object type,Disease
D05045,Minocycline,drug/chemical compound,decreases_activity of,836,CASP3,gene/protein,Alzheimer disease
D05045,Minocycline,drug/chemical compound,decreases_processing of,4137,MAPT,gene/protein,Alzheimer disease
GO:0004672,protein kinase activity,process,affects_phosphorylation of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
GO:0034205,beta-amyloid formation,process,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
GO:0034205,beta-amyloid formation,process,affects_quantity of,351,Amyloid beta peptide (40),gene/protein,Alzheimer disease
GO:0034205,beta-amyloid formation,process,affects_quantity of,351,Amyloid beta peptide (42),gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,351,Amyloid beta peptide (phosphorylated),protein modification,Alzheimer disease
GO:0004672,protein kinase activity,process,affects_quantity of,351,Amyloid beta peptide (phosphorylated),protein modification,Alzheimer disease
351,Amyloid beta peptide (phosphorylated),protein modification,increases_activity of,MP:0000604,amyloidosis,phenotype,Alzheimer disease
351,Amyloid beta peptide (phosphorylated),protein modification,increases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
10062,NR1H3,gene/protein,affects_activity of,GO:0008203,cholesterol metabolic process,process,Alzheimer disease
10062,NR1H3,gene/protein,affects_activity of,GO:0002263,cell activation involved in immune response,process,Alzheimer disease
GO:0008203,cholesterol metabolic process,process,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
GO:0002263,cell activation involved in immune response,process,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
,TO901317,drug/chemical compound,affects_activity of,,NR1H,gene/protein,Alzheimer disease
,TO901317,drug/chemical compound,is localized in,BTO:0000142,brain,tissue/cell line,Alzheimer disease
,TO901317,drug/chemical compound,decreases_quantity of,351,Amyloid beta peptide (soluble),gene/protein,Alzheimer disease
,TO901317,drug/chemical compound,decreases_quantity of,351,Amyloid beta peptide (insoluble),gene/protein,Alzheimer disease
,TO901317,drug/chemical compound,affects_activity of,GO:0042987,amyloid precursor protein catabolic process,process,Alzheimer disease
,TO901317,drug/chemical compound,affects_activity of,GO:0008542,visual learning,process,Alzheimer disease
,TO901317,drug/chemical compound,increases_expression of,19,ABCA1,gene/protein,Alzheimer disease
348,APOE,gene/protein,is localized in,BTO:0000099,astrocyte,tissue/cell line,Alzheimer disease
,TO901317,drug/chemical compound,increases_expression of,348,APOE,gene/protein,Alzheimer disease
19,ABCA1,gene/protein,is localized in,BTO:0000099,astrocyte,tissue/cell line,Alzheimer disease
,TO901317,drug/chemical compound,affects_activity of,GO:0006909,phagocytosis,process,Alzheimer disease
MP:0003329,amyloid beta deposits,phenotype,affects_activity of,BTO:0000078,microglia,tissue/cell line,Alzheimer disease
D07869,Donepezil,drug/chemical compound,decreases_activity of,,Cholinesterase,gene/protein,Alzheimer disease
D04292,Galantamine,drug/chemical compound,decreases_activity of,,Cholinesterase,gene/protein,Alzheimer disease
D03822,Rivastigmine,drug/chemical compound,decreases_activity of,,Cholinesterase,gene/protein,Alzheimer disease
,Schisandrin B,drug/chemical compound,decreases_activity of,351,Amyloid beta peptide (42),gene/protein,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,increases_activity of,GO:0051402,neuron apoptotic process,process,Alzheimer disease
,Schisandrin B,drug/chemical compound,decreases_activity of,GO:0070997,neuron death,process,Alzheimer disease
,Schisandrin B,drug/chemical compound,decreases_activity of,GO:0051402,neuron apoptotic process,process,Alzheimer disease
,Schisandrin B,drug/chemical compound,increases_expression of,596,BCL2,gene/protein,Alzheimer disease
,Schisandrin B,drug/chemical compound,decreases_expression of,581,BAX,gene/protein,Alzheimer disease
581,BAX,gene/protein,increases_activity of,GO:0051402,neuron apoptotic process,process,Alzheimer disease
596,BCL2,gene/protein,decreases_activity of,GO:0051402,neuron apoptotic process,process,Alzheimer disease
,Schisandrin B,drug/chemical compound,decreases_activity of,GO:0001836,release of cytochrome c from mitochondria,process,Alzheimer disease
,Schisandrin B,drug/chemical compound,decreases_activity of,842,CASP9,gene/protein,Alzheimer disease
,Schisandrin B,drug/chemical compound,decreases_activity of,836,CASP3,gene/protein,Alzheimer disease
,Schisandrin B,drug/chemical compound,increases_activity of,C00051,Glutathione,drug/chemical compound,Alzheimer disease
,Schisandrin B,drug/chemical compound,decreases_quantity of,C00127,Glutathione disulfide,drug/chemical compound,Alzheimer disease
,anosognosia,phenotype,cooccurs with,104300,Alzheimer disease,disease,Alzheimer disease
,anosognosia,phenotype,cooccurs with,,apathy,phenotype,Alzheimer disease
,apathy,phenotype,cooccurs with,104300,Alzheimer disease,disease,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,6507,SLC1A3,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,6506,SLC1A2,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,6506,SLC1A2,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,6507,SLC1A3,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,2900,GRIK4,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_expression of,81488,POLR2M,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_expression of,2893,GRIA4,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,2892,GRIA3,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,2897,GRIK1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,2901,GRIK5,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,2673,GFPT1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,2746,GLUD1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,51704,GPRC5B,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,55890,GPRC5C,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,55507,GPRC5D,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,23426,GRIP1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,2911,GRM1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,5188,GATB,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,5471,PPAT,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,5625,PRODH,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,5859,QARS,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,9052,GPRC5A,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,2571,GAD1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,2572,GAD2,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,2752,GLUL,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,2902,GRIN1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_expression of,2905,GRIN2C,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_expression of,2356,FPGS,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,2744,GLS,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_expression of,2895,GRID2,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_expression of,80852,GRIP2,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_expression of,2918,GRM8,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,10404,CPQ,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,5832,ALDH18A1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,81488,POLR2M,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,2893,GRIA4,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_expression of,23657,SLC7A11,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,2730,GCLM,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_expression of,6512,SLC1A7,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_expression of,2058,EPRS,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_expression of,10841,FTCD,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,2905,GRIN2C,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,6512,SLC1A7,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,2058,EPRS,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_activity of,GO:0034651,cortisol biosynthetic process,process,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,C00735,Cortisol,drug/chemical compound,Alzheimer disease
3827,KNG1,gene/protein,decreases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
3827,Bradykinin,gene/protein,is_part_of,3827,KNG1,gene/protein,Alzheimer disease
6750,SST,gene/protein,decreases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
1906,EDN1,gene/protein,decreases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
,Neuropeptide,gene/protein,increases_activity of,BTO:0000078,microglia,tissue/cell line,Alzheimer disease
,Neuropeptide,gene/protein,increases_activity of,GO:0001774,microglial cell activation,process,Alzheimer disease
3827,Bradykinin,gene/protein,decreases_expression of,4843,NOS2,gene/protein,Alzheimer disease
3827,Bradykinin,gene/protein,decreases_expression of,5743,PTGS2,gene/protein,Alzheimer disease
1906,EDN1,gene/protein,decreases_expression of,6347,CCL2,gene/protein,Alzheimer disease
1906,EDN1,gene/protein,decreases_expression of,3569,IL6,gene/protein,Alzheimer disease
3827,Bradykinin,gene/protein,is_part_of,,Neuropeptide,gene/protein,Alzheimer disease
1906,EDN1,gene/protein,is_part_of,,Neuropeptide,gene/protein,Alzheimer disease
6750,SST,gene/protein,is_part_of,,Neuropeptide,gene/protein,Alzheimer disease
6750,SST,gene/protein,affects_activity of,GO:0006954,inflammatory response,process,Alzheimer disease
1906,EDN1,gene/protein,affects_activity of,GO:0006954,inflammatory response,process,Alzheimer disease
3827,Bradykinin,gene/protein,affects_activity of,GO:0006954,inflammatory response,process,Alzheimer disease
GO:0001774,microglial cell activation,process,increases_activity of,MP:0002229,neurodegeneration,phenotype,Alzheimer disease
D07460,Apomorphine,drug/chemical compound,increases_activity of,GO:0007614,short-term memory,process,Alzheimer disease
D07460,Apomorphine,drug/chemical compound,decreases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
D07460,Apomorphine,drug/chemical compound,decreases_quantity of,4137,MAPT-hyperphos,protein modification,Alzheimer disease
D07460,Apomorphine,drug/chemical compound,decreases_quantity of,7157,TP53,gene/protein,Alzheimer disease
D07460,Apomorphine,drug/chemical compound,decreases_quantity of,3162,HMOX1,gene/protein,Alzheimer disease
D07460,Apomorphine,drug/chemical compound,increases_activity of,,proteasome,complex/PPI,Alzheimer disease
D07460,Apomorphine,drug/chemical compound,increases_activity of,3416,IDE,gene/protein,Alzheimer disease
D07460,Apomorphine,drug/chemical compound,decreases_activity of,C00027,H2O2,drug/chemical compound,Alzheimer disease
,3xTg-AD mouse,organism model,increases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
,3xTg-AD mouse,organism model,decreases_activity of,GO:0007613,memory,process,Alzheimer disease
D07460,Apomorphine,drug/chemical compound,decreases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
GO:0006629,lipid metabolic process,process,affects_activity of,MP:0002229,neurodegeneration,phenotype,Alzheimer disease
104300,Alzheimer disease,disease,increases_activity of,MP:0001547,abnormal lipid level,phenotype,Alzheimer disease
348,APOE,gene/protein,affects_activity of,GO:0008203,cholesterol metabolic process,process,Alzheimer disease
348,APOE (isoform E4),gene/protein mutant,increases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
,HSP70,gene/protein,decreases_quantity of,4137,MAPT-hyperphos,protein modification,Alzheimer disease
10273,STUB1,gene/protein,decreases_quantity of,4137,MAPT-hyperphos,protein modification,Alzheimer disease
2932,GSK3B,gene/protein,increases_quantity of,4137,MAPT-hyperphos,protein modification,Alzheimer disease
2931,GSK3A,gene/protein,increases_quantity of,4137,MAPT-hyperphos,protein modification,Alzheimer disease
348,APOE,gene/protein,affects_activity of,GO:0006641,triglyceride metabolic process,process,Alzheimer disease
348,APOE,gene/protein,affects_activity of,GO:0042953,lipoprotein transport,process,Alzheimer disease
348,APOE,gene/protein,interacts (colocalizes) with,351,Amyloid beta peptide,gene/protein,Alzheimer disease
,"CP-113,818",drug/chemical compound,decreases_activity of,38,ACAT1,gene/protein,Alzheimer disease
38,ACAT1,gene/protein,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
38,ACAT1,gene/protein,affects_activity of,MP:0000604,amyloidosis,phenotype,Alzheimer disease
38,ACAT1,gene/protein,affects_activity of,,cognitive impairment,phenotype,Alzheimer disease
38,ACAT1,gene/protein,increases_quantity of,C13550,24-Hydroxycholesterol,drug/chemical compound,Alzheimer disease
GO:0033344,cholesterol efflux,process,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
19,ABCA1,gene/protein,affects_quantity of,348,APOE,gene/protein,Alzheimer disease
19,ABCA1,gene/protein,affects_processing of,348,APOE,gene/protein,Alzheimer disease
19,ABCA1,gene/protein,affects transport of,348,APOE,gene/protein,Alzheimer disease
19,ABCA1,gene/protein,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
53786818,Beta-methyl cyclodextrin,drug/chemical compound,decreases_quantity of,C00187,Cholesterol,drug/chemical compound,Alzheimer disease
C00187,Cholesterol,drug/chemical compound,decreases_activity of,23621,BACE1,gene/protein,Alzheimer disease
C00187,Cholesterol,drug/chemical compound,decreases_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
C00187,Cholesterol,drug/chemical compound,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
,Sphingolipids,drug/chemical compound,increases_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
GO:0045121,membrane raft,cellular component,affects_activity of,MP:0000604,amyloidosis,phenotype,Alzheimer disease
23621,BACE1,gene/protein,interacts (colocalizes) with,GO:0045121,membrane raft,cellular component,Alzheimer disease
C00187,Cholesterol,drug/chemical compound,affects_activity of,GO:0042987,amyloid precursor protein catabolic process,process,Alzheimer disease
C00187,Cholesterol,drug/chemical compound,affects_activity of,MP:0000604,amyloidosis,phenotype,Alzheimer disease
MP:0000604,amyloidosis,phenotype,affects_activity of,GO:0042987,amyloid precursor protein catabolic process,process,Alzheimer disease
C00187,Cholesterol,drug/chemical compound,affects_activity of,GO:0006897,endocytosis,process,Alzheimer disease
23621,BACE1,gene/protein,interacts (colocalizes) with,351,APP,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,interacts (colocalizes) with,GO:0045121,membrane raft,cellular component,Alzheimer disease
5664,PSEN2,gene/protein,interacts (colocalizes) with,GO:0045121,membrane raft,cellular component,Alzheimer disease
466,Gamma-secretase complex,complex/PPI,interacts (colocalizes) with,GO:0045121,membrane raft,cellular component,Alzheimer disease
466,Gamma-secretase complex,complex/PPI,affects_quantity of,351,APP (C-terminal fragment),gene/protein,Alzheimer disease
C00195,N-Acylsphingosine,drug/chemical compound,is_part_of,,Sphingolipid,drug/chemical compound,Alzheimer disease
C00550,Sphingomyelin,drug/chemical compound,is_part_of,,Sphingolipid,drug/chemical compound,Alzheimer disease
C00195,N-Acylsphingosine,drug/chemical compound,is localized in,GO:0045121,membrane raft,cellular component,Alzheimer disease
C00550,Sphingomyelin,drug/chemical compound,is localized in,GO:0045121,membrane raft,cellular component,Alzheimer disease
,Glycosphingolipid,drug/chemical compound,is localized in,GO:0045121,membrane raft,cellular component,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,C00195,N-Acylsphingosine,drug/chemical compound,Alzheimer disease
C00195,N-Acylsphingosine,drug/chemical compound,affects_processing of,351,APP,gene/protein,Alzheimer disease
,Sphingomyelinase,gene/protein,affects_processing of,C00550,Sphingomyelin,drug/chemical compound,Alzheimer disease
,Sphingomyelinase,gene/protein,affects_quantity of,C00195,N-Acylsphingosine,drug/chemical compound,Alzheimer disease
,Serine C-palmitoyltransferase complex,complex/PPI,affects_quantity of,351,Amyloid beta peptide (42),gene/protein,Alzheimer disease
,Serine C-palmitoyltransferase complex,complex/PPI,affects_quantity of,351,Amyloid beta peptide (40),gene/protein,Alzheimer disease
,Sphingolipid,drug/chemical compound,affects_activity of,23621,BACE1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,,GGPP,drug/chemical compound,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,,FPP,drug/chemical compound,Alzheimer disease
C15181,Wortmannin,drug/chemical compound,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
,"Phosphatidylinositol-4,5-bisphosphate",drug/chemical compound,affects_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
,"Phosphatidylinositol-4,5-bisphosphate",drug/chemical compound,affects_quantity of,351,Amyloid beta peptide (42),gene/protein,Alzheimer disease
5337,PLD1,gene/protein,affects_processing of,351,APP,gene/protein,Alzheimer disease
5337,PLD1,gene/protein,interacts (colocalizes) with,5663,PSEN1,gene/protein,Alzheimer disease
,Sphingolipid,drug/chemical compound,affects_activity of,MP:0000604,amyloidosis,phenotype,Alzheimer disease
C04911,D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-,drug/chemical compound,interacts (colocalizes) with,351,Amyloid beta peptide,gene/protein,Alzheimer disease
C04911,D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-,drug/chemical compound,affects_activity of,MP:0000604,amyloidosis,phenotype,Alzheimer disease
GO:0007568,aging,process,affects_activity of,C04911,D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-,drug/chemical compound,Alzheimer disease
2583,B4GALNT1,gene/protein,affects_quantity of,C04730,GM3,drug/chemical compound,Alzheimer disease
2583,B4GALNT1,gene/protein,affects_quantity of,C04911,D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-,drug/chemical compound,Alzheimer disease
6489,ST8SIA1,gene/protein,affects_activity of,,cognitive impairment,phenotype,Alzheimer disease
6489,ST8SIA1,gene/protein,affects_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
GO:0046872,metal ion binding,process,increases_activity of,GO:0043157,response to cation stress,process,Alzheimer disease
351,Amyloid beta peptide,gene/protein,affects_activity of,GO:0046872,metal ion binding,process,Alzheimer disease
GO:0046872,metal ion binding,process,cooccurs with,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
104300,Alzheimer disease,disease,cooccurs with,GO:0046872,metal ion binding,process,Alzheimer disease
351,Amyloid beta peptide,gene/protein,affects_quantity of,C00027,H2O2,drug/chemical compound,Alzheimer disease
351,Amyloid beta peptide (oligomer),gene/protein,increases_activity of,5338,PLD2,gene/protein,Alzheimer disease
5338,PLD2,gene/protein,affects_activity of,GO:0007613,memory,process,Alzheimer disease
104300,Alzheimer disease,disease,increases_activity of,5338,PLD2,gene/protein,Alzheimer disease
5338,PLD2,gene/protein,affects_quantity of,351,APP,gene/protein,Alzheimer disease
5338,PLD2,gene/protein,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
2619,GAS1,gene/protein,interacts (colocalizes) with,351,APP,gene/protein,Alzheimer disease
2619,GAS1,gene/protein,affects_processing of,351,APP,gene/protein,Alzheimer disease
255022,CALHM1,gene/protein,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
255022,CALHM1,gene/protein,affects_activity of,GO:0050435,beta-amyloid metabolic process,process,Alzheimer disease
2619,GAS1,gene/protein,affects_glucosylation of,351,APP,gene/protein,Alzheimer disease
2619,GAS1,gene/protein,affects_activity of,GO:0006810,transport,process,Alzheimer disease
2619,GAS1,gene/protein,affects_expression of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
102,ADAM10,gene/protein,affects_activity of,GO:0042987,amyloid precursor protein catabolic process,process,Alzheimer disease
102,ADAM10,gene/protein,decreases_activity of,,cognitive impairment,phenotype,Alzheimer disease
102,ADAM10,gene/protein,decreases_expression of,6279,S100A8,gene/protein,Alzheimer disease
102,ADAM10,gene/protein,decreases_expression of,6280,S100A9,gene/protein,Alzheimer disease
6279,S100A8,gene/protein,affects_activity of,GO:0006954,inflammatory response,process,Alzheimer disease
6280,S100A9,gene/protein,affects_activity of,GO:0006954,inflammatory response,process,Alzheimer disease
GO:0001309,age-dependent telomere shortening,process,increases_activity of,GO:0008542,visual learning,process,Alzheimer disease
GO:0001309,age-dependent telomere shortening,process,increases_activity of,GO:0001774,microglial cell activation,process,Alzheimer disease
GO:0001309,age-dependent telomere shortening,process,decreases_activity of,MP:0008918,microgliosis,phenotype,Alzheimer disease
GO:0001309,age-dependent telomere shortening,process,decreases_activity of,MP:0000604,amyloidosis,phenotype,Alzheimer disease
,G3Terc-/- mouse,organism model,decreases_activity of,GO:0021542,dentate gyrus development,process,Alzheimer disease
,G3Terc-/- mouse,organism model,increases_activity of,GO:0070997,neuron death,process,Alzheimer disease
,G3Terc-/- mouse,organism model,decreases_activity of,GO:0007614,short-term memory,process,Alzheimer disease
351,Amyloid beta peptide,gene/protein,increases_activity of,GO:0034976,response to endoplasmic reticulum stress,process,Alzheimer disease
351,Amyloid beta peptide,gene/protein,increases_activity of,7494,XBP1,gene/protein,Alzheimer disease
GO:0034976,response to endoplasmic reticulum stress,process,increases_quantity of,7494,XBP1,gene/protein,Alzheimer disease
7494,XBP1,gene/protein,increases_activity of,GO:0043526,neuroprotection,process,Alzheimer disease
7494,XBP1,gene/protein,decreases_quantity of,C00076,Ca2+,drug/chemical compound,Alzheimer disease
6263,RYR3,gene/protein,affects_activity of,7494,XBP1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,cooccurs with,MP:0000947,convulsive seizures,phenotype,Alzheimer disease
102,ADAM10,gene/protein,affects_activity of,GO:0043526,neuroprotection,process,Alzheimer disease
C10107,Myricetin,drug/chemical compound,is_part_of,C01579,Flavonoid,drug/chemical compound,Alzheimer disease
C10107,Myricetin,drug/chemical compound,increases_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
C10107,Myricetin,drug/chemical compound,decreases_activity of,GO:0070997,neuron death,process,Alzheimer disease
C10107,Myricetin,drug/chemical compound,decreases_activity of,MP:0000604,amyloidosis,phenotype,Alzheimer disease
C10107,Myricetin,drug/chemical compound,decreases_activity of,836,CASP3,gene/protein,Alzheimer disease
C10107,Myricetin,drug/chemical compound,decreases_quantity of,351,Amyloid beta peptide (42),gene/protein,Alzheimer disease
C10107,Myricetin,drug/chemical compound,decreases_quantity of,351,Amyloid beta peptide (40),gene/protein,Alzheimer disease
C10107,Myricetin,drug/chemical compound,increases_activity of,102,ADAM10,gene/protein,Alzheimer disease
C10107,Myricetin,drug/chemical compound,increases_expression of,102,ADAM10,gene/protein,Alzheimer disease
C10107,Myricetin,drug/chemical compound,affects_activity of,23621,BACE1,gene/protein,Alzheimer disease
C00291,Nickel,drug/chemical compound,increases_quantity of,3091,HIF1A,gene/protein,Alzheimer disease
3091,HIF1A,gene/protein,interacts (colocalizes) with,405,ARNT,gene/protein,Alzheimer disease
3091,HIF1A,gene/protein,is_part_of,5382,ARNT-HIF1A complex,complex/PPI,Alzheimer disease
405,ARNT,gene/protein,is_part_of,5382,ARNT-HIF1A complex,complex/PPI,Alzheimer disease
D07520,Bepridil,drug/chemical compound,decreases_activity of,C00076,Ca2+,drug/chemical compound,Alzheimer disease
D02910,Amiodarone,drug/chemical compound,decreases_activity of,C00076,Ca2+,drug/chemical compound,Alzheimer disease
D07520,Bepridil,drug/chemical compound,decreases_activity of,23621,BACE1,gene/protein,Alzheimer disease
D02910,Amiodarone,drug/chemical compound,decreases_activity of,23621,BACE1,gene/protein,Alzheimer disease
D07520,Bepridil,drug/chemical compound,increases_activity of,GO:0051454,intracellular pH elevation,process,Alzheimer disease
D02910,Amiodarone,drug/chemical compound,increases_activity of,GO:0051454,intracellular pH elevation,process,Alzheimer disease
GO:0051454,intracellular pH elevation,process,decreases_activity of,23621,BACE1,gene/protein,Alzheimer disease
23621,BACE1,gene/protein,affects_activity of,GO:0042987,amyloid precursor protein catabolic process,process,Alzheimer disease
D07520,Bepridil,drug/chemical compound,affects_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
D02910,Amiodarone,drug/chemical compound,affects_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
351,Amyloid beta peptide (oligomer),gene/protein,decreases_quantity of,C04637,"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate",drug/chemical compound,Alzheimer disease
351,Amyloid beta peptide (oligomer),gene/protein,decreases_activity of,,"Phosphatidylinositol-4,5-bisphosphate 5-phosphatase",gene/protein,Alzheimer disease
C04637,"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate",drug/chemical compound,affects_activity of,,"Phosphatidylinositol-4,5-bisphosphate 5-phosphatase",gene/protein,Alzheimer disease
C00076,Ca2+,drug/chemical compound,affects_activity of,,"Phosphatidylinositol-4,5-bisphosphate 5-phosphatase",gene/protein,Alzheimer disease
8867,SYNJ1,gene/protein,affects_quantity of,C04637,"1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate",drug/chemical compound,Alzheimer disease
8867,SYNJ1,gene/protein,is localized in,BTO:0000142,brain,tissue/cell line,Alzheimer disease
8867,SYNJ1,gene/protein,is localized in,GO:0045202,synapse,cellular component,Alzheimer disease
,calorie restriction,environment,increases_phosphorylation of,83939,EIF2A,gene/protein,Alzheimer disease
GO:0006468,protein phosphorylation,process,increases_quantity of,83939,EIF2A-P,protein modification,Alzheimer disease
83939,EIF2A-P,protein modification,increases_activity of,83939,EIF2A,gene/protein,Alzheimer disease
GO:0006468,protein phosphorylation,process,increases_activity of,83939,EIF2A,gene/protein,Alzheimer disease
83939,EIF2A-P,protein modification,increases_expression of,23621,BACE1,gene/protein,Alzheimer disease
,Salubrinal,drug/chemical compound,decreases_activity of,,eIF2a-PPP1CC,gene/protein,Alzheimer disease
,Salubrinal,drug/chemical compound,increases_quantity of,23621,BACE1,gene/protein,Alzheimer disease
,Salubrinal,drug/chemical compound,increases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
823,CAPN1,gene/protein,increases_processing of,8851,CDK5R1,gene/protein,Alzheimer disease
823,CAPN1,gene/protein,affects_quantity of,8851,p25,gene/protein,Alzheimer disease
8851,p25,gene/protein,is_part_of,8851,CDK5R1,gene/protein,Alzheimer disease
8851,CDK5R1,gene/protein,is_part_of,1115,CDK5/p35 complex,complex/PPI,Alzheimer disease
1020,CDK5,gene/protein,is_part_of,1115,CDK5/p35 complex,complex/PPI,Alzheimer disease
GO:0031941,filamentous actin,cellular component,affects_quantity of,1115,CDK5/p35 complex,complex/PPI,Alzheimer disease
GO:0031941,filamentous actin,cellular component,interacts (colocalizes) with,8851,CDK5R1,gene/protein,Alzheimer disease
,G-actin,cellular component,interacts (colocalizes) with,1020,CDK5,gene/protein,Alzheimer disease
GO:0031941,filamentous actin,cellular component,interacts (colocalizes) with,8851,p25,gene/protein,Alzheimer disease
GO:0031941,filamentous actin,cellular component,interacts (colocalizes) with,1020,CDK5,gene/protein,Alzheimer disease
,G-actin,cellular component,decreases_quantity of,,CDK5/p25 complex,complex/PPI,Alzheimer disease
